"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"Gum 23           ","RCW 38            ","BRTNB","VEL","08 59.7","-47 27","99.9","99.9","397","20","  20   m","  10   m","   ","E          ","    ","     ","    ","                                                       ","Part of Gum neb (Vela SNR)                                                            "
"NGC 2736         ","RCW 37            ","BRTNB","VEL","09 00.4","-45 54","99.9","99.9","397","20","  30   m","   7   m","20 ","E          ","    ","     ","    ","! eeF;vL;vvmE 19 deg                                   ","luminous filamentary nebula                                                           "
"Cr 205           ","                  ","OPNCL","VEL","09 00.6","-48 59"," 7.8","99.9","397","20","   2   m","        ","   ","I 3 m      ","30  "," 9.3 ","    ","                                                       ","                                                                                      "
"Mrk  18          ","                  ","OPNCL","VEL","09 00.6","-48 59"," 7.8","99.9","397","20","   2.0 m","        ","   ","           ","30  "," 9.3 ","    ","                                                       ","                                                                                      "
"Ru  73           ","                  ","OPNCL","VEL","09 01.2","-50 55","99.9","99.9","397","20","   3.6 m","        ","   ","IV 1p :b   ","25  ","14   ","    ","                                                       ","                                                                                      "
"Gum 35           ","RCW 40            ","BRTNB","VEL","09 02.4","-48 42","99.9","99.9","397","20","   7   m","   6   m","   ","E          ","    ","     ","    ","                                                       ","                                                                                      "
"Pismis 10        ","                  ","OPNCL","VEL","09 02.6","-43 38","99.9","99.9","397","20","   2.5 m","        ","   ","           ","    ","10   ","    ","                                                       ","                                                                                      "
"PK 273- 3.1      ","He2- 18           ","PLNNB","VEL","09 08.8","-53 19","14.3","11.1","425","25","  12   s","  10   s","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2792         ","PK 265+4.1        ","PLNNB","VEL","09 12.4","-42 26","13.5","8.5 ","398","20","  13   s","        ","   ","4          ","    ","16.9 ","    ","! Planetary;pB=*9;vS;R;am st                           ","                                                                                      "
"PK 275- 4.2      ","He2- 21           ","PLNNB","VEL","09 13.9","-55 28","13.5","6.5 ","425","25","   2.0 s","        ","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"PK 275- 4.1      ","PB 4              ","PLNNB","VEL","09 14.9","-54 53","12.9","8.9 ","425","25","  14   s","   9   s","   ","           ","    ","16.1 ","    ","                                                       ","                                                                                      "
"Pismis 11        ","vdB-Ha  60        ","OPNCL","VEL","09 16.0","-50 01","99.9","99.9","398","20","   2   m","        ","   ","I 2p :b    ","20  ","12   ","    ","                                                       ","                                                                                      "
"PK 268+ 2.1      ","PB 5              ","PLNNB","VEL","09 16.2","-45 29","14.2","8.8 ","398","20","   5   s","        ","   ","1          ","    ","18.7 ","    ","                                                       ","                                                                                      "
"PK 275- 3.1      ","He2- 25           ","PLNNB","VEL","09 18.1","-54 40","15.6","99.9","425","25","   5   s","        ","   ","           ","    ","16.9 ","    ","                                                       ","                                                                                      "
"NGC 2845         ","ESO 314-10        ","GALXY","VEL","09 18.6","-38 01","11.7","12.3","364","20","   2   m","   1   m","67 ","Sa         ","    ","     ","    ","vF;S;R;*12 att sf                                      ","                                                                                      "
"NGC 2849         ","Cr 207            ","OPNCL","VEL","09 19.4","-40 31","12.5","99.9","398","20","   3   m","        ","   ","I 1 m      ","40  ","     ","    ","eF;cL;R;vglbM;rr                                       ","                                                                                      "
"Pismis 12        ","                  ","OPNCL","VEL","09 19.9","-45 08"," 9.7","99.9","398","20","   4.5 m","        ","   ","III 2 p    ","20  ","11.6 ","    ","                                                       ","                                                                                      "
"Ru  75           ","                  ","OPNCL","VEL","09 21.9","-56 19","99.9","99.9","425","25","   4   m","        ","   ","II 1p :b   ","20  ","12   ","    ","                                                       ","                                                                                      "
"NGC 2866         ","OCL  774          ","OPNCL","VEL","09 22.1","-51 06","10.0","99.9","425","25","   1.5 m","        ","   ","           ","    ","     ","    ","Cl;lC                                                  ","                                                                                      "
"Pismis 13        ","                  ","OPNCL","VEL","09 22.1","-51 06","10.2","99.9","425","25","   2   m","        ","   ","II 2 p     ","30  ","12.1 ","    ","                                                       ","Included in NGC 2866                                                                  "
"PK 275- 2.1      ","He2- 28           ","PLNNB","VEL","09 22.1","-54 09","14.4","99.9","425","25","  11   s","   9   s","   ","           ","    ","17   ","    ","                                                       ","Ring shape                                                                            "
"Ru  76           ","                  ","OPNCL","VEL","09 24.3","-51 40","10.8","99.9","425","25","   6   m","        ","   ","III 2 p    ","20  ","12.5 ","    ","                                                       ","                                                                                      "
"PK 275- 2.2      ","He2- 29           ","PLNNB","VEL","09 24.8","-54 36","13.3","99.9","425","25","  14.0 s","        ","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2899         ","PK 277-3.1        ","PLNNB","VEL","09 27.1","-56 06","12.2","13.1","425","25","   2   m","        ","   ","           ","    ","15.9 ","    ","F;pL;R;gmbM;am 80st                                    ","                                                                                      "
"Ru  77           ","                  ","OPNCL","VEL","09 27.1","-55 07","10.4","99.9","425","25","   2   m","        ","   ","II 3 p     ","35  ","12.5 ","    ","                                                       ","                                                                                      "
"IC  2488         ","Cr 208            ","OPNCL","VEL","09 27.4","-56 57"," 7.4","99.9","425","25","  15   m","        ","   ","II 2 m     ","70  ","10   ","    ","about 50 stars mags 11....                             ","                                                                                      "
